rank_by_return,strategy_name,rsi_period,rsi_buy,rsi_sell,rsi_buy_period,rsi_sell_period,rsi_oversold,rsi_recovery_delta,bias_period,bias_buy,bias_sell,bias_fast_period,bias_fast_buy,bias_slow_period,bias_slow_sell,bias_cross_threshold,bb_period,bb_std,bb_width_threshold,trailing_stop_pct,consecutive_days,total_return_pct,annualized_return_pct,max_drawdown_pct,win_rate_pct,wins,losses,total_trades,profit_factor,sharpe,buy_hold_return_pct,backtest_start,backtest_end,trading_days
149,"TrailStop(10%) RSI(14,30,70)",14,30,70,,,,,,,,,,,,,,,,10,,119.74,13.84,-44.37,60.0,18,12,60,1.88,0.6392,1083.5,2020-01-02,2026-04-28,1530
150,MT-BIAS buy=BIAS(3)<=-7% sell=BIAS(20)>=7%,,,,,,,,,,,3,-7,20,7,,,,,,,118.41,13.73,-22.98,100.0,6,0,12,999,0.7008,1083.5,2020-01-02,2026-04-28,1530
151,AsymRSI buy=RSI(5)<35 sell=RSI(21)>65,,35,65,5,21,,,,,,,,,,,,,,,,116.0,13.52,-48.87,83.33,35,7,84,1.96,0.537,1083.5,2020-01-02,2026-04-28,1530
152,"TrailStop(15%) RSI(14,30,70)",14,30,70,,,,,,,,,,,,,,,,15,,115.88,13.51,-39.83,69.23,18,8,52,1.74,0.5975,1083.5,2020-01-02,2026-04-28,1530
153,AsymRSI buy=RSI(5)<30 sell=RSI(21)>65,,30,65,5,21,,,,,,,,,,,,,,,,113.99,13.35,-50.44,82.86,29,6,70,1.98,0.5334,1083.5,2020-01-02,2026-04-28,1530
154,MT-BIAS buy=BIAS(3)<=-7% sell=BIAS(20)>=5%,,,,,,,,,,,3,-7,20,5,,,,,,,112.79,13.24,-22.98,100.0,7,0,14,999,0.6941,1083.5,2020-01-02,2026-04-28,1530
155,"TrailStop(15%) RSI(14,30,65)",14,30,65,,,,,,,,,,,,,,,,15,,112.55,13.22,-39.83,74.07,20,7,54,1.77,0.6065,1083.5,2020-01-02,2026-04-28,1530
156,"ConsecDays(2) RSI(14,30,70)",14,30,70,,,,,,,,,,,,,,,,,2,111.41,13.12,-41.1,73.33,11,4,30,2.76,0.6112,1083.5,2020-01-02,2026-04-28,1530
157,MT-BIAS buy=BIAS(3)<=-10% sell=BIAS(20)>=7%,,,,,,,,,,,3,-10,20,7,,,,,,,109.43,12.95,-20.57,100.0,3,0,6,999,0.7982,1083.5,2020-01-02,2026-04-28,1530
158,"TrailStop(10%) BIAS(10,-7,7)",,,,,,,,10,-7,7,,,,,,,,,10,,109.04,12.91,-41.02,52.0,13,12,50,1.89,0.6016,1083.5,2020-01-02,2026-04-28,1530
159,MT-BIAS buy=BIAS(3)<=-7% sell=BIAS(15)>=7%,,,,,,,,,,,3,-7,15,7,,,,,,,108.56,12.87,-22.98,100.0,7,0,14,999,0.6797,1083.5,2020-01-02,2026-04-28,1530
160,MT-BIAS buy=BIAS(3)<=-10% sell=BIAS(30)>=3%,,,,,,,,,,,3,-10,30,3,,,,,,,108.09,12.83,-21.88,100.0,3,0,6,999,0.7855,1083.5,2020-01-02,2026-04-28,1530
161,MT-BIAS buy=BIAS(3)<=-10% sell=BIAS(15)>=10%,,,,,,,,,,,3,-10,15,10,,,,,,,104.56,12.51,-20.57,100.0,3,0,6,999,0.7765,1083.5,2020-01-02,2026-04-28,1530
162,BIAS-mom(20) cross>-3% sell>=10%,,,,,,,,20,,10,,,,,-3,,,,,,104.31,12.49,-49.47,66.67,6,3,18,2.63,0.5165,1083.5,2020-01-02,2026-04-28,1530
163,AsymRSI buy=RSI(10)<35 sell=RSI(21)>65,,35,65,10,21,,,,,,,,,,,,,,,,103.44,12.41,-48.8,80.0,20,5,50,2.04,0.5196,1083.5,2020-01-02,2026-04-28,1530
164,BIAS-mom(10) cross>-2% sell>=7%,,,,,,,,10,,7,,,,,-2,,,,,,103.41,12.41,-48.96,76.47,13,4,34,2.07,0.5107,1083.5,2020-01-02,2026-04-28,1530
165,MT-BIAS buy=BIAS(3)<=-7% sell=BIAS(20)>=3%,,,,,,,,,,,3,-7,20,3,,,,,,,103.1,12.38,-22.98,100.0,7,0,14,999,0.6589,1083.5,2020-01-02,2026-04-28,1530
166,"BBw>=10% gate RSI(14,30,65)+BIAS(10,-3,7) bb_std=2.5",14,30,65,,,,,10,-3,7,,,,,,20,2.5,10,,,102.6,12.33,-49.22,66.67,6,3,18,2.35,0.529,1083.5,2020-01-02,2026-04-28,1530
167,MT-BIAS buy=BIAS(5)<=-10% sell=BIAS(30)>=5%,,,,,,,,,,,5,-10,30,5,,,,,,,102.11,12.29,-28.37,100.0,5,0,10,999,0.6712,1083.5,2020-01-02,2026-04-28,1530
168,AsymRSI buy=RSI(7)<35 sell=RSI(14)>70,,35,70,7,14,,,,,,,,,,,,,,,,101.54,12.24,-50.1,81.25,26,6,64,2.04,0.5091,1083.5,2020-01-02,2026-04-28,1530
169,AsymRSI buy=RSI(5)<25 sell=RSI(21)>65,,25,65,5,21,,,,,,,,,,,,,,,,101.5,12.23,-50.43,81.25,26,6,64,1.95,0.5066,1083.5,2020-01-02,2026-04-28,1530
170,"BBw>=10% gate RSI(14,35,65)+BIAS(10,-5,7) bb_std=2.0",14,35,65,,,,,10,-5,7,,,,,,20,2.0,10,,,99.97,12.09,-49.19,66.67,6,3,18,2.49,0.5227,1083.5,2020-01-02,2026-04-28,1530
171,"BBw>=10% gate RSI(14,35,65)+BIAS(10,-3,7) bb_std=2.0",14,35,65,,,,,10,-3,7,,,,,,20,2.0,10,,,99.86,12.08,-49.19,66.67,6,3,18,2.49,0.5171,1083.5,2020-01-02,2026-04-28,1530
